Altium Designer Pick and Place Locations
C:\Users\FragiacF\Desktop\WorkLocal\PERSONAL\PROJECTS\SlotCar\SlotEsp32-GIT\SchLayout\ESPEED32_V3.0\Project Outputs MIN_SLOT_ESC_V2.0\Pick Place for ESPEED32_V3_0.csv

========================================================================================================================
File Design Information:

Date:       19/10/24
Time:       15:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Ref-X(mm)","Ref-Y(mm)","Layer","Rotation"
"R21","30.6687mm","59.9440mm","TopLayer","0"
"R20","36.0550mm","59.9440mm","TopLayer","180"
"R19","52.7895mm","59.3780mm","TopLayer","180"
"R18","56.7654mm","59.3560mm","TopLayer","180"
"D2","9.6520mm","56.9875mm","TopLayer","90"
"C2","26.0350mm","54.3193mm","TopLayer","0"
"C4","22.6060mm","54.3162mm","TopLayer","0"
"R4","30.1464mm","53.3028mm","TopLayer","0"
"R5","33.5276mm","53.1874mm","TopLayer","0"
"C10","13.3350mm","52.5547mm","TopLayer","180"
"C7","52.7309mm","52.5197mm","TopLayer","180"
"R7","57.5310mm","52.3240mm","TopLayer","270"
"R6","60.1980mm","52.1970mm","TopLayer","270"
"Q1","16.5100mm","51.8160mm","TopLayer","90"
"R16","33.4782mm","51.3616mm","TopLayer","0"
"R1","30.1156mm","51.3200mm","TopLayer","0"
"R9","9.6520mm","51.0540mm","TopLayer","0"
"R10","6.3500mm","51.0540mm","TopLayer","0"
"C1","63.8810mm","51.0116mm","TopLayer","90"
"C13","9.6520mm","49.4030mm","TopLayer","0"
"C14","6.3500mm","49.4030mm","TopLayer","180"
"R11","12.5300mm","48.3940mm","TopLayer","90"
"R12","3.5300mm","48.3940mm","TopLayer","270"
"R8","15.8475mm","47.7571mm","TopLayer","270"
"EXT_MOT","67.5640mm","46.2556mm","TopLayer","90"
"U1","44.1750mm","44.6903mm","BottomLayer","90"
"OLED1","44.5670mm","44.1170mm","TopLayer","0"
"C6","60.4861mm","40.3916mm","TopLayer","0"
"ENC1","8.0300mm","40.1440mm","TopLayer","180"
"R15","65.7519mm","38.7882mm","TopLayer","270"
"DZ3","63.8810mm","38.7552mm","TopLayer","270"
"R24","59.8354mm","38.1472mm","TopLayer","270"
"R23","60.5254mm","35.8904mm","TopLayer","180"
"R22","55.5588mm","33.7791mm","TopLayer","180"
"SPARE","68.0857mm","33.5648mm","TopLayer","270"
"T_POT","9.0446mm","29.7154mm","TopLayer","180"
"5V","2.4643mm","29.4640mm","TopLayer","0"
"R2","38.4810mm","24.1300mm","TopLayer","0"
"R3","35.2263mm","24.1220mm","TopLayer","0"
"BUZ","20.9830mm","24.0644mm","TopLayer","180"
"R14","59.7126mm","23.6982mm","TopLayer","270"
"C11","13.1142mm","23.5146mm","TopLayer","90"
"G1","7.4590mm","22.2310mm","TopLayer","180"
"C16","56.4011mm","21.3502mm","TopLayer","0"
"C12","13.1360mm","20.5740mm","TopLayer","270"
"R13","59.7785mm","20.4649mm","TopLayer","270"
"C15","56.4045mm","18.5232mm","TopLayer","0"
"C5","21.3710mm","15.7952mm","TopLayer","180"
"Q2","65.6636mm","15.5974mm","TopLayer","270"
"S1","10.8840mm","15.1176mm","TopLayer","180"
"U2","52.1018mm","12.9260mm","TopLayer","180"
"C8","58.3544mm","12.4480mm","TopLayer","90"
"U3","21.4630mm","12.4241mm","TopLayer","270"
"C9","18.0234mm","12.1816mm","TopLayer","90"
"C3","60.5138mm","11.5538mm","TopLayer","90"
"WIPER","53.6874mm","4.8260mm","TopLayer","90"
"CAP-","42.3338mm","4.6990mm","TopLayer","90"
"GND","60.0132mm","4.6990mm","TopLayer","90"
"VIN+","66.1670mm","4.6990mm","TopLayer","90"
"CAP+","46.6446mm","4.6920mm","TopLayer","90"
